studyid,esid,n1,n2,m1,sd1,m2,sd2,es_tot,se_tot,treat1,treat2,rob_tot,ind
3001,7895,30,24,7.43,7.92,12.96,12.32,0.539308012,0.278734803,e-CHUG,AO-CT,1,1
3001,7894,26,24,7.88,11.1,12.96,12.32,0.427351236,0.286276966,AlcEdu,AO-CT,1,1
3001,7896,30,26,7.43,7.92,7.88,11.1,0.046584249,0.267981797,e-CHUG,AlcEdu,1,1
3002,7905,19,24,14.11,8.71,20.71,11.54,0.623361349,0.314351082,BASICS,AO-CT,1,1
3006,7910,59,71,14.1,14.5,16.7,11.4,0.200408429,0.176601619,CDCU,AO-CT,2,1
3029,7924,149,153,9.3,7.9,10.1,10,0.088418171,0.11515338,BASICS,AO-CT,1,1
3032,7931,81,97,12.7,7.3,15.2,8.6,0.309803039,0.151408583,BASICS,AO-CT,3,1
3035,7935,38,39,11.93,11.33,14.99,11.34,0.267250061,0.228955448,e-CHUG,AO-CT,1,1
3035,7936,41,39,9.43,11.84,14.99,11.34,0.474723488,0.226803407,BASICS,AO-CT,1,1
3035,7937,41,38,9.43,11.84,11.93,11.33,0.213452891,0.225819394,BASICS,e-CHUG,1,1
3046,7947,1102,1298,NA,NA,NA,NA,0.095870003,0.040985018,AlcEdu,AO-CT,1,1
3047,7952,164,161,16.25,12.84,16.86,12.98,-0.047142077,0.110960171,Alc101,AlcEdu,2,1
3047,7951,161,170,16.86,12.98,17.34,13.02,0.036837246,0.10997992,AlcEdu,AO-CT,2,1
3047,7950,164,170,16.25,12.84,17.34,13.02,0.084096879,0.109501146,Alc101,AO-CT,2,1
3049,7954,53,53,1.2,2.06,1.76,1.49,0.309251308,0.195414856,e-CHUG,AO-CT,2,1
3051,7955,740,548,16.04,17.05,19.62,16.71,0.211632907,0.056511555,AlcEdu,AO-CT,1,1
3061,7966,13,11,11.15,8.802,10.36,13.147,-0.06939204,0.409795672,BASICS,Active-CT,2,1
3071,7967,38,9,17.18,15.18,9.78,9.78,-0.506363094,0.374372274,Alc101,Active-CT,1,1
3072,7974,32,43,12.05,11.01,8.56,7.8,-0.371419668,0.235426202,BASICS,AO-CT,1,1
3077,7890,966,944,8,3.83,10,4.5,0.478899628,0.046417203,THRIVE,AO-CT,1,1
3078,7976,20,21,0.8,0.64,0.87,0.69,0.103053786,0.312647671,e-CHUG,AO-CT,3,1
3080,7987,36,37,12.15,7.19,14.06,6.74,0.271303147,0.23517856,BASICS,AO-CT,1,1
3081,7989,13,20,6.7,6.9,8.85,7.3,0.293454766,0.358089179,BASICS,AO-CT,1,1
3082,7992,28,26,13.63,8.12,17.23,10.69,0.375698358,0.274741262,BASICS,AO-CT,3,1
3083,7994,80,87,5.35,7.97,5.28,8.6,-0.008390965,0.15490146,BASICS,AO-CT,1,1
3084,7997,35,40,12.1,8.1,13.9,7.6,0.227316335,0.232198,BASICS,AO-CT,2,1
3090,7882,37,32,11.42,10.01,14,13.98,0.212387815,0.242082432,BASICS,Alc101,1,1
3091,8012,37,24,4.89,3.88,5.77,5.91,0.181935921,0.262611896,CYD,Active-CT,1,1
3093,8021,27,29,17.11,12.78,13.69,13.53,-0.255975634,0.268523425,BASICS,AO-CT,2,1
3094,8023,64,39,8.6,8.96,9.84,9.02,0.137016714,0.203364596,Alc101,AO-CT,3,1
3095,8026,12,9,29.71,18.48,48.94,46.75,0.552126586,0.44911316,BASICS,Active-CT,1,1
3096,8028,80,86,8,8.82,9.6,12.75,0.144354656,0.155533507,BASICS,Active-CT,3,1
3099,8035,42,39,13.2,21.9,23.1,30.2,0.373944193,0.224307209,CDCU,AO-CT,1,1
3100,8041,57,54,9.61,7.06,14.44,7.5,0.659133255,0.194985613,BASICS,AO-CT,1,1
3101,8054,101,90,6.67,9.86,7.15,8.83,0.050920188,0.144978926,BASICS,Active-CT,3,1
3102,8057,29,30,11.4,7.03,15.78,8.17,0.566365957,0.265583277,BASICS,AO-CT,1,1
3106,8066,41,32,30.2,12.8,29.9,12.8,-0.023189045,0.235889643,CDCU,AO-CT,2,1
3107,8069,5,8,15.53,7.61,13.66,7.67,-0.227442622,0.571830034,BASICS,e-CHUG,1,1
3108,8073,12,14,11.83,7.94,16.36,9.2,0.507435799,0.399641901,BASICS,Active-CT,1,1
3115,8080,20,22,8.1,8.38,12.13,9.17,0.449130476,0.312819362,BASICS,AO-CT,2,1
3132,8079,19,20,19.445,12.549,19.52,15.9399,0.005105435,0.320362151,THRIVE,Active-CT,2,1
5002,7904,22,19,14.05,8.86,16.53,11.93,0.234065443,0.3142519,BASICS,AO-CT,1,1
5100,8048,58,56,10.53,7.38,13.32,9.04,0.336438656,0.188666299,BASICS,AO-CT,1,1
